Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[THC1] 	ME3	2.0	0.26	-1.0	0.0	1.0	0.7	0.0
[THC1] 	EF3	2.0	0.26	-1.0	0.0	1.0	0.7	0.0
[THC1] 	DE3	2.0	0.26	-1.0	0.0	1.0	0.7	0.0
[THC2] 	ME3	2.0	0.17	-1.0	0.0	1.0	0.8	0.0
[THC2] 	EF3	5.0	0.17	-1.0	0.0	4.0	3.8	0.0
[THC2] 	DE3	2.0	0.17	-1.0	0.0	1.0	0.8	0.0
[THC3] 	ME3	1.0	0.17	0.0	0.0	1.0	0.8	0.0
[THC3] 	EF3	3.0	0.17	0.0	0.0	3.0	2.8	0.0
[THC3] 	DE3	2.0	0.17	0.0	0.0	2.0	1.8	0.0
[THC4]*	ME3	0.0	0.17	1.0	0.0	1.0	0.8	0.0
[THC4]*	EF3	0.0	0.17	1.0	0.0	1.0	0.8	0.0
[THC4]*	DE3	0.0	0.17	1.0	0.0	1.0	0.8	0.0
[THC5]*	ME3	0.0	0.33	1.0	0.0	1.0	0.7	0.0
[THC5]*	EF3	0.0	0.33	1.0	0.0	1.0	0.7	0.0
[THC5]*	DE3	0.0	0.33	1.0	0.0	1.0	0.7	0.0
