RC[CLU_1001]		737	Dist (km)
>	L[3118602190532]	554	1.26
>	L[3118602190532] tel	27
>	L[SHC1]	110	20.00
>	L[SHC1] tel	5
>	L[THC1]	36	25.00
>	L[THC1] tel	1
RC[CLU_1126]		108	Dist (km)
>	L[CLU_3121]	81	0.83
>	L[CLU_3121] tel	4
>	L[SHC1]	16	20.00
>	L[SHC1] tel	0
>	L[THC1]	5	25.00
>	L[THC1] tel	0
RC[CLU_1175]		654	Dist (km)
>	L[3118602190931]	492	1.18
>	L[3118602190931] tel	24
>	L[SHC1]	98	20.00
>	L[SHC1] tel	4
>	L[THC1]	32	25.00
>	L[THC1] tel	1
RC[CLU_1177]		600	Dist (km)
>	L[3118607116306]	201	1.34
>	L[3118602190222]	249	1.22
>	L[3118607116306] tel	10
>	L[3118602190222] tel	12
>	L[SHC1]	90	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[CLU_1178]		999	Dist (km)
>	L[CLU_2971]	751	4.68
>	L[CLU_2971] tel	37
>	L[SHC1]	149	20.00
>	L[SHC1] tel	7
>	L[THC1]	49	25.00
>	L[THC1] tel	2
RC[CLU_1205]		1004	Dist (km)
>	L[3118602190532]	755	3.21
>	L[3118602190532] tel	37
>	L[SHC1]	150	20.00
>	L[SHC1] tel	7
>	L[THC1]	50	25.00
>	L[THC1] tel	2
RC[CLU_1233]		497	Dist (km)
>	L[CLU_2971]	373	1.03
>	L[CLU_2971] tel	18
>	L[SHC1]	74	20.00
>	L[SHC1] tel	3
>	L[THC1]	24	25.00
>	L[THC1] tel	1
RC[CLU_1273]		690	Dist (km)
>	L[CLU_3141]	519	0.73
>	L[CLU_3141] tel	25
>	L[SHC1]	103	20.00
>	L[SHC1] tel	5
>	L[THC1]	34	25.00
>	L[THC1] tel	1
RC[CLU_1296]		600	Dist (km)
>	L[CLU_3128]	451	0.84
>	L[CLU_3128] tel	22
>	L[SHC1]	90	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[CLU_1307]		2037	Dist (km)
>	L[CLU_3141]	1532	0.53
>	L[CLU_3141] tel	76
>	L[SHC1]	305	20.00
>	L[SHC1] tel	15
>	L[THC1]	101	25.00
>	L[THC1] tel	5
RC[CLU_1344]		1322	Dist (km)
>	L[CLU_3141]	994	0.35
>	L[CLU_3141] tel	49
>	L[SHC1]	198	20.00
>	L[SHC1] tel	9
>	L[THC1]	66	25.00
>	L[THC1] tel	3
RC[CLU_1359]		768	Dist (km)
>	L[3118602190680]	577	0.29
>	L[3118602190680] tel	28
>	L[SHC1]	115	20.00
>	L[SHC1] tel	5
>	L[THC1]	38	25.00
>	L[THC1] tel	1
RC[CLU_1818]		464	Dist (km)
>	L[3118602190524]	349	1.19
>	L[3118602190524] tel	17
>	L[SHC1]	69	20.00
>	L[SHC1] tel	3
>	L[THC1]	23	25.00
>	L[THC1] tel	1
RC[CLU_1821]		1172	Dist (km)
>	L[3118602190524]	881	0.53
>	L[3118602190524] tel	44
>	L[SHC1]	175	20.00
>	L[SHC1] tel	8
>	L[THC1]	58	25.00
>	L[THC1] tel	2
RC[CLU_1826]		2202	Dist (km)
>	L[3118602190877]	1656	0.76
>	L[3118602190877] tel	82
>	L[SHC1]	330	20.00
>	L[SHC1] tel	16
>	L[THC1]	110	25.00
>	L[THC1] tel	5
RC[CLU_1868]		30	Dist (km)
>	L[CLU_3166]	22	0.75
>	L[CLU_3166] tel	1
>	L[SHC1]	4	20.00
>	L[SHC1] tel	0
>	L[THC1]	1	25.00
>	L[THC1] tel	0
RC[CLU_1889]		124	Dist (km)
>	L[CLU_3084]	93	3.02
>	L[CLU_3084] tel	4
>	L[SHC1]	18	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[CLU_1894]		1415	Dist (km)
>	L[CLU_3098]	1064	2.64
>	L[CLU_3098] tel	53
>	L[SHC1]	212	20.00
>	L[SHC1] tel	10
>	L[THC1]	70	25.00
>	L[THC1] tel	3
RC[CLU_2922]		1371	Dist (km)
>	L[3118602190753]	921	0.39
>	L[CLU_3166]	110	1.01
>	L[3118602190753] tel	46
>	L[CLU_3166] tel	5
>	L[SHC1]	205	20.00
>	L[SHC1] tel	10
>	L[THC1]	68	25.00
>	L[THC1] tel	3
RC[CLU_2923]		2573	Dist (km)
>	L[3118602190753]	2032	0.00
>	L[SHC1]	385	20.00
>	L[SHC1] tel	19
>	L[THC1]	128	25.00
>	L[THC1] tel	6
RC[CLU_2925]		2868	Dist (km)
>	L[3118602190788]	2157	1.58
>	L[3118602190788] tel	107
>	L[SHC1]	430	20.00
>	L[SHC1] tel	21
>	L[THC1]	143	25.00
>	L[THC1] tel	7
RC[CLU_2926]		2037	Dist (km)
>	L[3118602220261]	451	3.19
>	L[3118602191059]	1081	2.67
>	L[3118602220261] tel	22
>	L[3118602191059] tel	54
>	L[SHC1]	305	20.00
>	L[SHC1] tel	15
>	L[THC1]	101	25.00
>	L[THC1] tel	5
RC[CLU_2927]		2539	Dist (km)
>	L[3118602191229]	6	2.69
>	L[3118602191059]	1129	2.41
>	L[CLU_2943]	773	4.05
>	L[3118602191229] tel	0
>	L[3118602191059] tel	56
>	L[CLU_2943] tel	38
>	L[SHC1]	380	20.00
>	L[SHC1] tel	19
>	L[THC1]	126	25.00
>	L[THC1] tel	6
RC[CLU_2928]		1412	Dist (km)
>	L[3118602190990]	614	2.21
>	L[3118602190397]	447	4.83
>	L[3118602190990] tel	30
>	L[3118602190397] tel	22
>	L[SHC1]	211	20.00
>	L[SHC1] tel	10
>	L[THC1]	70	25.00
>	L[THC1] tel	3
RC[CLU_2929]		3436	Dist (km)
>	L[3118602190990]	2585	2.22
>	L[3118602190990] tel	129
>	L[SHC1]	515	20.00
>	L[SHC1] tel	25
>	L[THC1]	171	25.00
>	L[THC1] tel	8
RC[CLU_2930]		298	Dist (km)
>	L[CLU_3121]	224	2.89
>	L[CLU_3121] tel	11
>	L[SHC1]	44	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[CLU_2931]		2529	Dist (km)
>	L[3118602190990]	1902	2.18
>	L[3118602190990] tel	95
>	L[SHC1]	379	20.00
>	L[SHC1] tel	18
>	L[THC1]	126	25.00
>	L[THC1] tel	6
RC[CLU_2932]		3645	Dist (km)
>	L[3118602190389]	2067	3.51
>	L[3118602191059]	674	1.65
>	L[3118602190389] tel	103
>	L[3118602191059] tel	33
>	L[SHC1]	546	20.00
>	L[SHC1] tel	27
>	L[THC1]	182	25.00
>	L[THC1] tel	9
RC[CLU_2933]		2749	Dist (km)
>	L[3118602190990]	99	1.87
>	L[3118602190591]	1968	2.82
