#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departmento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities, 
# choose intermediate facilities accorting a criteria that improve service
# quality. Consider health care teams. 
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts


data;

# Health care levels (PHC, SHC, THC)
# Maximal distance for each level
param: K: Dmax :=
1         20000 # PHC: Primary health care (basic care)
2         40000 # SHC: Secondary health care (intermediate care)
3         55000 # THC: Tertiary health care (hospital care)
;


set L[2] := SHC1;
set L[3] := THC1;

# Basic health care units teams (PHC)
set E[1] :=
eSF # Equipe de Saúde da Família
eSB # Equipe de Saúde Bucal
eMulti # Equipe Multi
;

# Intermediate health care units teams (SHC)
set E[2] :=
EQ2 # Equipe SHC
;

# Tertiary health care units teams (Hospital)
set E[3] :=
EQ3 # Equipe SHC
;


# EXISTING health care units on three levels
set EL[1] := 
313760105000013
313760105000076
313760105000102
313760105000122
313760105000125
313760105000132
313760105000135
313760105000139
313760105000168
313760105000186
313760105000201
313760105000235
313760105000239
313760105000259
313760105000264
;

set EL[2] := SHC1;
set EL[3] := THC1;



# of type p at demand point i and 
# vulnerability V (the higher vulnerability, the worse)	
# id_setor	populacao	IVS
param: I: W   IVS:=	
313760105000002	253	0.423
313760105000003	332	0.437
313760105000004	0	.
313760105000005	502	0.461
313760105000007	312	0.457
313760105000008	505	0.423
313760105000009	426	0.427
313760105000010	294	0.401
313760105000011	305	0.413
313760105000012	543	0.409
313760105000013	620	0.405
313760105000015	607	0.42
313760105000016	139	0.434
313760105000020	380	0.426
313760105000021	280	0.441
313760105000022	245	0.414
313760105000024	94	0.422
313760105000026	347	0.431
313760105000027	582	0.418
313760105000028	317	0.442
313760105000029	191	0.43
313760105000030	231	0.441
313760105000036	251	0.434
313760105000037	418	0.408
313760105000039	701	0.301
313760105000040	390	0.298
313760105000043	448	0.422
313760105000045	401	0.439
313760105000048	36	0.476
313760105000050	3	0.658
313760105000058	177	0.434
313760105000064	390	0.443
313760105000066	358	0.44
313760105000067	193	0.434
313760105000068	195	0.443
313760105000069	114	0.431
313760105000071	294	0.441
313760105000072	311	0.424
313760105000074	428	0.424
313760105000075	174	0.412
313760105000076	179	0.407
313760105000077	314	0.412
313760105000078	238	0.395
313760105000080	263	0.393
313760105000081	184	0.419
313760105000082	176	0.413
313760105000083	373	0.416
313760105000084	151	0.423
313760105000085	182	0.436
313760105000086	390	0.416
313760105000087	179	0.426
313760105000088	331	0.42
313760105000089	219	0.402
313760105000090	533	0.402
313760105000091	339	0.405
313760105000092	58	0.476
313760105000094	505	0.406
313760105000095	295	0.435
313760105000096	180	0.42
313760105000097	179	0.434
313760105000098	193	0.453
313760105000099	467	0.402
313760105000101	37	0.4
313760105000102	1106	0.41
313760105000103	301	0.42
313760105000105	585	0.395
313760105000106	773	0.416
313760105000108	166	0.439
313760105000109	397	0.418
313760105000110	359	0.441
313760105000112	86	0.446
313760105000114	11	0.658
313760105000115	0	.
313760105000118	301	0.407
313760105000120	330	0.392
313760105000122	378	0.398
313760105000123	99	0.447
313760105000124	206	0.424
313760105000125	124	0.425
313760105000126	178	0.411
313760105000127	425	0.435
313760105000128	773	0.407
313760105000129	378	0.404
313760105000132	336	0.434
313760105000133	493	0.405
313760105000134	253	0.42
313760105000135	340	0.436
313760105000136	302	0.406
313760105000138	554	0.393
313760105000139	324	0.389
313760105000140	527	0.425
313760105000141	200	0.424
313760105000142	226	0.45
313760105000144	84	0.356
313760105000145	382	0.402
313760105000146	68	0.426
313760105000147	306	0.422
313760105000150	545	0.428
313760105000151	290	0.453
