PHC	Capty	Met	Use(%)
[313760105000013]	3000	2720	 90%
[313760105000076]	3000	2883	 96%
[313760105000102]	6000	2551	 42%
[313760105000122]	3000	2824	 94%
[313760105000125]	3000	2985	 99%
[313760105000132]	3000	2779	 92%
[313760105000135]	6000	2722	 45%
[313760105000139]	6000	2677	 44%
[313760105000168]	3000	2999	 99%
[313760105000186]	3000	2981	 99%
[313760105000201]	3000	2905	 96%
[313760105000235]	3000	2814	 93%
[313760105000239]	6000	3019	 50%
[313760105000259]	3000	3000	100%
[313760105000264]	3000	2935	 97%
[313760105000002*]:	9000	470	  5%
[313760105000080*]:	9000	2777	 30%
[313760105000150*]:	9000	5780	 64%
[313760105000178*]:	9000	2571	 28%
[313760105000253*]:	9000	2709	 30%
[313760105000255*]:	9000	5353	 59%
[313760105000271*]:	9000	2834	 31%
[313760105000285*]:	9000	2901	 32%
[313760115000014*]:	9000	3455	 38%
[313760115000019*]:	9000	3478	 38%


SHC	Capty	Met	Use(%)
[SHC1  ]	22000	19952	 90%


THC	Capty	Met	Use(%)
[THC1  ]	7000	6346	 90%
